branch,customer,acct,decline_amount,months_gone,last_purchase,rev_2025,rev_2024,rev_2023,txn_count
Brunswick,Krumwiede Farms               ,953742,1166.74,6.0,2025-09-02,183.51,367.28,615.95,6
Brunswick,T & M Landscape               ,991680,5314.82,6.1,2025-08-28,348.15,4074.58,892.09,16
Brunswick,City Of Brecksville           ,917611,3960.75,6.1,2025-08-29,2893.13,689.4,378.22,7
Brunswick,Frank Cuccia                  ,3002578,3799.94,6.1,2025-08-28,369.8,0.0,3430.14,9
Brunswick,Village Of Cuyahoga Heights   ,925945,6074.18,6.2,2025-08-26,1642.2199999999998,3235.36,1196.6,8
Brunswick,Case Western Reserve Universit,3072159,5349.3,6.2,2025-08-26,413.3,4936.0,0.0,5
Brunswick,R E L A M Inc                 ,275108,19950.99,6.4,2025-08-20,588.2,7554.389999999999,11808.4,15
Brunswick,Bet Olam Cemetary             ,915127,4050.95,6.4,2025-08-20,2735.31,297.68,1017.96,7
Brunswick,Csx Railroad                  ,925586,2670.1,6.4,2025-08-20,1786.0,515.67,368.43,4
Brunswick,Higgins Excavating            ,3061014,2161.05,6.4,2025-08-20,108.98,364.17,1687.9,6
Brunswick,Mcmahan'S Wrecking            ,961605,1599.46,6.4,2025-08-19,435.47,804.74,359.25,6
Brunswick,Frank Brothers Landscp Supply ,3043107,1478.19,6.4,2025-08-20,146.32999999999998,211.47,1120.39,4
Brunswick,Precision Paving Inc          ,974517,4003.61,6.5,2025-08-18,1841.67,964.65,1197.29,14
Brunswick,Maintenance Systems           ,962543,13978.24,6.6,2025-08-15,2860.15,3454.7,7663.39,18
Brunswick,North Coast Marine Const Inc  ,969635,5383.5,6.6,2025-08-13,4280.52,631.3199999999999,471.66,7
Brunswick,Forest City Erectors Inc      ,933692,1892.64,6.6,2025-08-13,129.52,1195.07,568.05,6
Brunswick,Brunswick City Schools        ,3050988,1582.43,6.6,2025-08-13,949.82,632.61,0.0,6
Brunswick,Sterner Sod Brookpark Gdn Ctr ,988082,1434.83,6.7,2025-08-12,686.36,748.47,0.0,6
Brunswick,Vlora Construction            ,3094389,6467.380000000001,6.8,2025-08-08,3637.35,2830.03,0.0,5
Brunswick,D R S Enterprises Inc         ,926071,26667.79,6.9,2025-08-05,3866.31,22088.27,713.21,21
Brunswick,Fox Construction Services     ,934004,20577.25,6.9,2025-08-06,6000.87,12721.86,1854.52,29
Brunswick,Fortuna Aggregates Llc        ,933788,13800.63,6.9,2025-08-04,13646.13,0.0,154.5,7
Brunswick,Summit Co Northfield Ctr Twp  ,289427,1099.4,6.9,2025-08-06,576.0699999999999,112.43,410.9,3
Brunswick,Boyas Excavating Inc          ,917005,10546.67,7.1,2025-07-31,6707.06,1393.78,2445.83,12
Brunswick,Wensink Farms                 ,996050,3152.85,7.1,2025-07-31,850.73,1041.0,1261.12,13
Brunswick,Campbell Run Farm             ,3082901,2183.74,7.1,2025-07-31,498.89,1684.85,0.0,3
Brunswick,Phil Archer Trucking & Exc    ,911431,1971.8,7.1,2025-07-31,1916.79,0.0,55.01,11
Brunswick,Shelly Company                ,949384,18603.57,7.3,2025-07-23,140.55,12148.24,6314.78,18
Brunswick,American Marine Express       ,3002330,3720.83,7.3,2025-07-24,765.47,1404.0700000000002,1551.29,10
Brunswick,Pavement Maint Specialities   ,972045,3276.44,7.3,2025-07-23,2521.06,0.0,755.38,5
Brunswick,Maple View Farms Llc          ,962892,2878.9,7.3,2025-07-24,1997.93,729.63,151.34,3
Brunswick,Ct Service Systems Inc        ,3072188,1428.42,7.3,2025-07-24,1079.42,183.24,165.76,4
Brunswick,Crown Hill Cemetery           ,225462,16322.95,7.8,2025-07-08,16322.95,0.0,0.0,4
Brunswick,Vallejo Company               ,3046073,6600.55,7.8,2025-07-10,3371.24,0.0,3229.31,10
Brunswick,Lorain Co Grafton Twp         ,958872,1855.14,7.8,2025-07-10,963.24,169.65,722.25,7
Brunswick,Rock Bottom Landscaping       ,978306,1176.33,7.8,2025-07-09,660.88,515.45,0.0,4
Brunswick,Medina Co Hinckley Twp        ,964142,6307.65,8.0,2025-07-01,755.23,5552.42,0.0,5
Brunswick,City Of Medina                ,964129,20351.73,8.1,2025-06-30,1890.05,7588.21,10873.47,28
Brunswick,Brian-Kyles Construction Inc  ,917804,3222.6,8.1,2025-06-30,1793.74,0.0,1428.86,5
Brunswick,Village Of Lodi               ,958402,3595.61,8.2,2025-06-25,846.3299999999999,0.0,2749.28,3
Brunswick,City Of North Royalton        ,969612,2727.83,8.3,2025-06-23,1102.85,530.89,1094.09,7
Brunswick,Ace Hardware Farm Supply &    ,3054278,1959.92,8.3,2025-06-24,482.13,1197.75,280.04,5
Brunswick,Ray Duke                      ,3069650,2076.67,8.4,2025-06-20,382.5,0.0,1694.17,3
Brunswick,Rainbow Truck Parts Llc       ,3054572,28297.43,8.5,2025-06-18,18277.76,1443.7,8575.97,17
Brunswick,John Hricovec                 ,946550,1915.73,8.5,2025-06-17,801.13,897.5400000000001,217.06,5
Brunswick,Stieber Brothers              ,3070612,1307.07,8.5,2025-06-18,603.05,176.66,527.36,5
Brunswick,Karl Keller Trkg & Exc        ,950935,9651.319999999998,8.6,2025-06-13,9526.579999999998,124.74,0.0,4
Brunswick,City Of Shaker Heights        ,983191,1652.89,8.6,2025-06-13,478.93,281.28,892.68,3
Brunswick,Scheid Enterprises Inc        ,981231,1780.5100000000002,8.7,2025-06-12,178.45,0.0,1602.0600000000002,4
Brunswick,Oglesby Construction Inc      ,970110,3704.14,9.0,2025-06-02,3405.67,0.0,298.47,4
Brunswick,John G Johnson Const Company  ,849413,2166.52,9.0,2025-06-02,285.62,660.85,1220.05,4
Brunswick,Borchert Fence Co             ,916702,1245.1799999999998,9.0,2025-06-02,1126.87,0.0,118.31,3
Brunswick,"Iron Mountain Processing, Llc ",3060942,8027.34,9.1,2025-05-30,8027.34,0.0,0.0,11
Brunswick,A & M Management Properties Ll,3094729,1488.54,9.1,2025-05-30,794.77,693.77,0.0,3
Brunswick,Ed Burdue & Co                ,919230,5237.33,9.3,2025-05-23,655.94,628.62,3952.77,10
Brunswick,City Of Vermilion             ,293630,4100.080000000001,9.3,2025-05-23,1170.3100000000002,1795.14,1134.63,3
